Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
HA,01-01-2017,0051,N360HA,HNL,10:00,10:07,690,674,7,10:20,13,0,0,0,0,0
HA,01-01-2018,0051,N382HA,HNL,10:00,10:25,690,668,25,10:47,22,0,0,0,0,0
HA,01-01-2019,0051,N391HA,HNL,10:00,10:06,685,640,6,10:21,15,0,0,0,0,0
HA,01-01-2020,0051,N393HA,HNL,10:00,09:54,685,638,-6,10:09,15,0,0,0,0,0
HA,01-01-2022,0051,N375HA,HNL,10:00,13:21,675,653,201,13:36,15,99,0,0,0,80
HA,01-02-2017,0051,N383HA,HNL,10:00,10:30,690,660,30,10:48,18,0,0,0,0,0
HA,01-02-2018,0051,N389HA,HNL,10:00,10:31,690,653,31,10:49,18,0,0,0,0,0
HA,01-02-2019,0051,N392HA,HNL,10:00,11:15,685,636,75,11:38,23,26,0,0,0,0
HA,01-02-2020,0051,N399HA,HNL,10:00,09:54,685,704,-6,10:15,21,0,0,0,0,0
HA,01-02-2021,0051,N390HA,HNL,10:00,09:57,680,661,-3,10:16,19,0,0,0,0,0
HA,01-02-2022,0051,N385HA,HNL,10:00,12:25,675,631,145,12:39,14,21,0,0,0,80
HA,01-03-2017,0051,N375HA,HNL,10:00,10:02,690,656,2,10:23,21,0,0,0,0,0
HA,01-03-2018,0051,N382HA,HNL,10:00,10:20,690,656,20,10:37,17,0,0,0,0,0
HA,01-03-2019,0051,N374HA,HNL,10:00,10:07,685,677,7,10:21,14,0,0,0,0,0
HA,01-03-2020,0051,N381HA,HNL,10:00,10:33,685,684,33,10:45,12,32,0,0,0,0
HA,01-03-2021,0051,N382HA,HNL,10:00,10:13,680,675,13,10:35,22,0,0,0,0,0
HA,01-03-2022,0051,N379HA,HNL,10:00,10:01,675,687,1,10:17,16,0,0,0,0,0
HA,01-04-2017,0051,N373HA,HNL,10:00,09:55,690,658,-5,10:16,21,0,0,0,0,0
HA,01-04-2018,0051,N391HA,HNL,10:00,14:20,690,0,1700,15:14,54,0,0,0,0,0
HA,01-04-2019,0051,N388HA,HNL,10:00,09:53,685,682,-7,10:21,28,0,0,0,0,0
HA,01-04-2020,0051,N386HA,HNL,10:00,09:54,685,693,-6,10:19,25,0,0,0,0,0
HA,01-04-2021,0051,N391HA,HNL,10:00,10:32,680,658,32,10:47,15,0,0,0,0,0
HA,01-04-2022,0051,N390HA,HNL,10:00,09:56,670,687,-4,10:14,18,0,0,0,0,0
HA,01-05-2017,0051,N370HA,HNL,10:00,09:58,690,686,-2,10:45,47,0,0,0,0,0
HA,01-05-2018,0051,N384HA,HNL,10:00,08:28,690,658,1348,08:53,25,1316,0,0,0,0
HA,01-05-2019,0051,N390HA,HNL,10:00,10:28,685,698,28,10:46,18,41,0,0,0,0
HA,01-05-2020,0051,N375HA,HNL,10:00,09:58,685,679,-2,10:18,20,0,0,0,0,0
HA,01-05-2022,0051,N399HA,HNL,10:00,10:00,670,668,0,10:13,13,0,0,0,0,0
HA,01-06-2017,0051,N382HA,HNL,10:00,10:21,690,701,21,11:05,44,11,21,0,0,0
HA,01-06-2018,0051,N396HA,HNL,10:00,12:36,690,637,156,12:58,22,103,0,0,0,0
HA,01-06-2019,0051,N378HA,HNL,10:00,09:54,685,714,-6,10:12,18,23,0,0,0,0
HA,01-06-2020,0051,N370HA,HNL,10:00,09:53,685,674,-7,10:23,30,0,0,0,0,0
HA,01-06-2022,0051,N395HA,HNL,10:00,12:19,670,669,139,12:40,21,78,0,0,0,60
HA,01-07-2017,0051,N381HA,HNL,10:00,10:27,690,734,27,11:35,68,44,27,0,0,0
HA,01-07-2018,0051,N384HA,HNL,10:00,12:03,690,664,123,12:24,21,97,0,0,0,0
HA,01-07-2019,0051,N393HA,HNL,10:00,09:51,685,685,-9,10:04,13,0,0,0,0,0
HA,01-07-2020,0051,N379HA,HNL,10:00,09:54,685,651,-6,10:12,18,0,0,0,0,0
HA,01-07-2021,0051,N391HA,HNL,10:00,09:52,680,661,-8,10:04,12,0,0,0,0,0
HA,01-07-2022,0051,N391HA,HNL,10:00,10:08,670,715,8,11:13,65,53,0,0,0,0
HA,01-08-2017,0051,N374HA,HNL,10:00,10:33,690,722,33,10:53,20,32,33,0,0,0
HA,01-08-2018,0051,N375HA,HNL,10:00,09:59,690,665,-1,10:12,13,0,0,0,0,0
HA,01-08-2019,0051,N391HA,HNL,10:00,09:59,685,664,-1,10:17,18,0,0,0,0,0
HA,01-08-2020,0051,N384HA,HNL,10:00,09:57,675,657,-3,10:12,15,0,0,0,0,0
HA,01-08-2022,0051,N390HA,HNL,10:00,11:16,670,672,76,11:36,20,78,0,0,0,0
HA,01-09-2017,0051,N391HA,HNL,10:00,09:52,690,727,-8,10:10,18,29,0,0,0,0
HA,01-09-2018,0051,N360HA,HNL,10:00,10:22,690,699,22,10:41,19,31,0,0,0,0
HA,01-09-2019,0051,N379HA,HNL,10:00,09:54,685,688,-6,10:11,17,0,0,0,0,0
HA,01-09-2020,0051,N374HA,HNL,10:00,09:52,675,643,-8,10:08,16,0,0,0,0,0
HA,01-09-2021,0051,N374HA,HNL,10:00,09:54,680,659,-6,10:10,16,0,0,0,0,0
HA,01-09-2022,0051,N399HA,HNL,10:00,01:09,670,691,909,01:32,23,930,0,0,0,0
HA,01-10-2017,0051,N382HA,HNL,10:00,09:57,690,697,-3,10:14,17,0,0,0,0,0
HA,01-10-2018,0051,N386HA,HNL,10:00,10:05,690,692,5,10:34,29,0,0,0,0,0
HA,01-10-2019,0051,N399HA,HNL,10:00,10:02,685,677,2,10:22,20,0,0,0,0,0
HA,01-10-2020,0051,N396HA,HNL,10:00,09:59,675,677,-1,10:13,14,0,0,0,0,0
HA,01-10-2022,0051,N396HA,HNL,10:00,10:21,670,678,21,10:39,18,29,0,0,0,0
HA,01-11-2017,0051,N378HA,HNL,10:00,10:00,690,658,0,10:12,12,0,0,0,0,0
HA,01-11-2018,0051,N382HA,HNL,10:00,09:59,690,675,-1,10:21,22,0,0,0,0,0
HA,01-11-2019,0051,N360HA,HNL,10:00,09:54,685,686,-6,10:28,34,0,0,0,0,0
HA,01-11-2020,0051,N381HA,HNL,10:00,09:57,675,670,-3,10:14,17,0,0,0,0,0
HA,01-11-2021,0051,N393HA,HNL,10:00,09:56,680,636,-4,10:14,18,0,0,0,0,0
HA,01-11-2022,0051,N385HA,HNL,10:00,09:59,670,690,-1,10:20,21,19,0,0,0,0
HA,01-12-2017,0051,N379HA,HNL,10:00,09:57,690,660,-3,10:10,13,0,0,0,0,0
HA,01-12-2018,0051,N391HA,HNL,10:00,10:02,690,705,2,11:02,60,17,0,0,0,0
HA,01-12-2019,0051,N374HA,HNL,10:00,09:54,685,662,-6,10:15,21,0,0,0,0,0
HA,01-12-2020,0051,N374HA,HNL,10:00,11:57,675,651,117,12:17,20,93,0,0,0,0
HA,01-12-2022,0051,N399HA,HNL,10:00,09:53,670,681,-7,10:07,14,0,0,0,0,0
HA,01/13/2017,0051,N380HA,HNL,10:00,10:46,690,696,46,11:03,17,52,0,0,0,0
